x,i,j,k,y
72.74537621,0,0,1,245.7608572
96.95453672,1,0,2,343.7759557
9.189318252,1,1,2,239.690867
31.34454995,1,0,3,270.8675376
18.78679815,0,1,3,97.92006117
62.18140891,1,1,2,405.4022699
87.35690136,1,0,2,195.5100371
41.93861896,0,1,1,276.4857333
-11.57276484,0,0,2,-47.33186433
10.54016763,0,1,1,186.319467
62.74675754,1,1,3,508.6242312
48.17237183,0,1,2,198.3830702
41.91304709,1,0,1,-30.32809258
51.2115221,1,1,2,161.7598941
24.29218594,1,1,3,434.881489
62.78572894,0,0,0,270.7352357
50.34622836,1,0,1,387.9662299
-13.45501021,1,1,0,82.47675051
100.7814254,1,1,2,577.9523931
41.83762741,1,0,2,130.2347704
79.0052346,0,1,1,647.079125
37.77323482,0,0,1,-32.37105303
-14.61057052,0,1,1,124.2590313
-9.483289654,1,1,0,-48.38888648
89.60600085,0,0,2,426.2784263
102.0487925,1,0,3,653.3647269
16.26767983,0,0,1,122.3837102
59.08107859,1,0,2,328.0002957
33.9640239,1,0,2,243.844476
4.267960638,1,0,2,217.199905
4.025719541,1,1,2,279.5926107
-21.24075358,1,1,2,52.48134832
30.45715968,1,0,1,48.23533722
-22.6263286,0,0,1,-139.3578218
-6.60376872,1,0,1,-125.2512079
110.3739644,1,0,1,715.0183952
52.14297571,0,1,2,397.1261166
90.05431613,0,0,2,275.284541
42.46578588,1,0,3,309.588662
1.847268139,1,1,1,211.0207285
48.08275532,0,1,2,404.2368523
14.36517857,0,0,1,130.9079083
29.55839196,1,0,1,303.4103226
59.72035857,1,1,2,266.955975
-28.2964646,1,0,0,-89.16881558
60.33341748,0,0,1,286.8761013
48.34363351,0,1,0,409.5579678
125.6766551,1,0,1,691.667971
114.0850965,1,0,2,465.1699987
75.46574376,1,1,3,491.7885681
25.64643324,1,1,1,354.2094534
50.75206575,0,0,2,142.9338325
35.05153795,0,1,1,240.5117317
8.148597816,1,0,1,44.15776039
51.99969379,0,1,2,313.8326827
10.07852853,1,0,1,-18.30736493
93.63348112,0,0,0,488.328722
-2.318123007,0,1,2,-68.20231745
147.6536045,0,0,0,743.9470997
56.65977705,0,1,2,486.3698848
74.05492654,1,0,2,230.6617438
2.745231102,1,0,2,-64.13283121
32.57540352,1,0,2,296.1259574
-1.20541285,0,0,1,-51.9439934
33.70028962,0,1,1,425.3277072
-52.89107326,1,1,3,-64.547022
11.96156985,0,0,2,3.864685697
31.10830813,1,1,1,214.2725791
-18.23201956,1,1,2,26.73078753
72.28164407,0,1,1,474.6489983
68.27827911,0,1,2,323.4368656
85.86151374,0,1,2,477.7632907
7.533557044,0,0,1,259.9692503
60.59049751,1,0,2,102.1319
13.00781752,1,1,0,120.3685638
102.6357671,0,1,0,602.6042524
65.62917707,0,0,2,440.0726683
66.75764655,0,1,3,443.5018369
34.45649826,1,1,2,178.9538326
14.4912825,0,0,2,32.39404062
63.36600342,1,0,3,338.11464
5.947530952,0,1,2,12.14974275
-18.94431504,1,1,2,207.4660759
32.78232266,0,1,3,217.9372518
52.86340248,0,0,2,216.5425655
41.41904596,0,1,0,214.6259178
21.34225184,1,1,1,273.5202857
112.9298012,0,1,2,675.7692981
-1.344257331,1,0,1,101.0050293
37.84001626,0,0,1,294.5180481
12.9119336,0,0,1,-93.98571491
72.62878666,0,0,0,113.2621592
13.28991491,0,0,2,44.21777756
33.42360896,0,0,3,292.5034226
106.4153463,1,1,1,771.6508418
49.582058,0,1,2,236.1430595
-18.75038471,0,0,2,-90.53478126
33.74324757,0,0,1,22.82005528
97.161384,0,0,2,242.7609718
113.2128368,1,1,3,627.6982551
14.01418494,1,0,1,67.21000287
44.42494637,0,0,0,341.4486201
-4.055960796,0,1,1,53.7305972
23.12059754,1,0,1,159.6982714
103.4087188,0,1,1,301.7212649
77.96953751,1,0,1,393.6096331
93.98349512,1,1,2,536.8836193
23.25693419,1,0,1,-54.22026844
46.71087971,1,0,2,142.7312399
52.17772248,1,1,2,71.94940975
-14.1035893,0,1,1,105.9000183
123.7196043,1,1,0,714.0290544
91.06215264,1,0,2,403.5800021
27.36607518,0,1,1,302.2552346
8.723132209,1,0,2,-29.53169957
58.46770069,0,1,1,404.8583336
-43.10069546,0,0,2,-137.0524945
28.23068388,0,0,1,36.90478394
60.70349727,1,1,1,421.4617163
-71.2110259,0,0,0,-350.1139693
76.61884418,0,1,1,410.234772
38.68748431,1,1,2,282.2218058
106.4369204,0,0,0,411.3710663
107.461389,0,0,1,380.536972
14.50069964,0,0,0,-38.59435558
30.47454631,0,1,1,333.6210112
103.1196445,1,1,0,488.0121167
-9.045343454,0,1,0,-144.4123669
79.64024718,1,0,1,492.7095123
20.01579664,0,1,1,322.6617165
29.55860427,0,1,2,202.9617405
16.4383319,0,1,1,166.6294081
87.34294721,1,1,2,580.115606
69.23512833,1,0,3,313.1946392
73.8820911,0,0,1,239.1543299
27.94861025,1,1,2,317.9808826
97.07338085,0,0,2,499.710749
97.24426821,0,1,1,489.6940432
93.44196574,1,0,2,394.7120295
3.493880775,1,1,1,32.70081381
-38.6214756,0,1,1,216.3034197
25.56383066,0,1,1,153.2815362
14.13005049,1,0,2,21.93525161
17.42252129,1,1,2,213.8672872
81.08009512,1,1,0,609.3306375
24.89288051,1,1,2,77.3009985
91.61576451,0,1,0,678.6564232
50.14424268,0,0,1,318.556845
63.64206656,1,1,2,333.0838798
94.8771777,1,1,2,647.8377226
107.1473325,1,0,1,653.7842922
10.59965488,0,0,2,78.80996778
52.12192614,0,0,2,310.4015086
22.40556585,1,0,1,117.4268041
-39.17399739,1,0,1,-168.2968549
65.18922611,1,0,1,223.0679526
-12.68162357,1,1,2,311.1569793
-18.34501822,1,0,0,-5.675595124
103.0763506,1,1,2,487.5972556
69.13726452,1,0,3,246.645242
24.91860244,0,0,3,84.50146915
-1.848989736,0,1,1,144.9291097
12.33659947,0,1,0,235.7955039
8.263368313,1,1,2,113.456147
14.34766329,0,0,1,36.67669896
-0.808737503,1,0,3,120.8074778
-12.96980427,1,1,2,174.6186592
75.64589243,1,1,2,485.7501014
36.07820658,0,0,2,134.4959526
33.13178004,1,1,3,265.1194441
30.07495135,0,0,0,-102.4753557
71.53828873,1,1,0,508.6025194
-28.10596758,0,1,1,-159.4828813
72.49985538,0,1,2,354.474482
26.43674297,1,0,1,184.4659154
6.505707056,1,1,1,7.342152695
54.49995551,1,0,1,247.8751069
19.30288857,1,0,3,124.9856492
122.2593244,1,0,0,519.7228447
75.41993786,0,0,2,289.6199148
-77.36961503,1,1,1,-163.4999565
60.73680241,1,0,1,299.9216639
-27.84097392,0,0,1,-7.029503564
70.32191514,1,1,0,538.0223427
52.99652825,1,0,1,289.9336051
104.660508,1,0,1,589.0771058
-33.11896779,1,0,0,-0.452048229
155.6970352,0,1,2,614.9572263
35.98555906,0,0,2,136.1893535
44.38245854,1,1,3,196.0690353
13.48381554,0,1,3,158.5509919
58.32437509,1,0,1,314.3661407
33.75409851,1,0,1,135.8064981
50.99115025,1,1,0,319.9201324
27.32773367,0,0,2,130.875814
74.81350276,0,0,1,289.6599152
48.85428863,1,1,1,437.1512126
98.16514165,1,0,1,458.0616521
22.25510959,0,0,1,140.7448488
59.21157152,1,0,3,325.2656623
46.08978405,1,0,2,56.90351488
-54.94557264,1,0,1,-279.6120622
13.93109557,1,0,0,-85.00708513
10.82974521,0,1,1,456.6189606
57.34159211,0,0,1,217.3667558
66.684065,0,1,2,458.3204917
154.0306124,1,0,2,732.19323
29.38294963,0,1,2,247.8221082
52.73010077,1,1,2,192.1762835
25.37697917,1,1,1,49.09266742
20.55973874,0,1,2,149.8860716
69.17665926,0,1,1,358.5899418
70.35158544,1,0,2,429.1002777
-13.75834741,1,0,2,-117.9003625
11.49458842,1,1,3,197.207275
23.65201039,0,1,2,233.2593313
124.2711606,0,0,0,476.0555775
50.33393991,1,1,1,312.8379131
43.32177027,0,1,3,112.9291762
45.40754149,0,0,1,135.7174663
44.42103091,1,1,2,362.7824316
-12.55743994,0,1,1,114.2956109
82.09249641,1,1,2,246.1112318
71.06185058,0,1,2,510.0479996
44.27811493,0,1,1,181.9823318
23.64428118,0,0,2,58.73259016
49.63784186,0,1,1,224.8591388
18.38457038,0,0,2,11.57206276
62.21058202,1,1,0,407.416692
-13.34942242,1,0,3,-133.3638528
94.39820827,0,1,2,490.7562136
125.0545603,0,1,1,774.8221823
30.74769929,0,1,3,217.0146169
129.3841282,0,0,1,614.6410721
14.48080773,0,0,2,31.33960103
-32.20655133,0,0,2,-129.4092912
77.47673636,1,0,2,344.7128088
75.09092022,1,1,1,480.1285775
88.54597695,1,0,2,387.0894037
21.83027183,1,1,2,212.8621888
-9.273991631,1,0,1,-2.274776267
90.91908825,1,0,0,260.2390051
-20.61331242,1,0,1,-57.03411403
117.5024367,1,1,2,632.6446592
24.11651043,1,1,1,174.6017351
46.9850944,0,1,2,217.4687698
70.71431795,0,1,1,460.5322838
41.59126831,0,0,1,344.9360204
62.26241821,0,0,2,189.1819799
55.11193824,1,1,2,336.3776321
101.3412547,0,0,2,431.9938474
43.00561603,1,1,2,405.9516623
58.17332864,0,0,0,277.4661929
6.917207471,1,1,0,120.3384512
33.68707586,1,1,1,177.3981077
103.0555453,1,0,1,444.2291056
3.968144632,1,0,3,99.02648027
12.34079942,0,0,1,-85.8905258
16.41170446,0,1,1,225.8033675
48.97887953,0,1,0,24.1667759
17.14205644,0,0,2,115.3182317
95.46877883,1,0,2,285.6843248
40.20900079,1,0,2,86.15500031
29.72389624,1,1,2,80.94325076
42.55998343,0,0,1,-9.778594172
81.74499567,0,0,1,439.8405188
65.44821116,0,0,0,385.3326729
25.32818096,0,0,2,188.4913701
58.01043544,0,1,2,457.0363907
16.15138831,0,0,1,75.19289576
52.84741326,1,1,1,390.6079162
61.85839521,1,1,2,306.6189667
8.100407991,0,0,3,106.1666766
58.9068018,1,1,2,224.6724598
77.00308435,1,0,2,401.8463067
6.547993226,1,0,2,158.3202607
29.61596885,0,0,3,87.4902151
74.41859147,1,1,2,341.2236532
-23.73293182,0,0,1,-24.13575121
37.52855798,0,1,3,445.6711092
104.7358617,0,1,1,738.8270514
-5.530834974,0,0,2,85.15755779
-15.48740716,0,1,2,-191.0577503
92.87041919,1,0,2,524.6520678
-34.38264187,0,1,1,-24.74757561
52.09619931,0,1,1,157.3470517
89.48363161,1,1,1,432.233853
18.84653547,0,0,1,90.70531973
12.0294593,1,0,1,-49.3065692
18.06288148,1,1,2,193.0657398
38.62872815,1,1,1,399.4097351
56.51147732,1,1,2,330.326554
22.14948054,1,0,1,323.4318058
50.56368522,0,1,2,435.4282843
94.91975351,1,1,2,340.839036
42.24142184,0,1,1,245.3130402
105.2972115,1,0,1,647.3791793
59.86792444,0,1,1,464.2772343
26.31049831,0,0,1,1.553244855
48.90236092,1,0,3,354.9575038
48.58915202,1,1,3,414.5433748
-35.07065647,0,1,3,34.05876695
85.08049887,1,0,0,490.0476522
66.35056511,0,1,0,509.3350785
17.47364848,1,0,3,140.1211018
90.55143427,1,0,2,557.9537075
24.66429284,1,1,2,179.401518
41.99886214,0,0,0,143.8835261
-65.95611169,1,0,2,-233.9340992
60.47703475,0,0,2,249.2020496
28.73298105,1,1,1,196.4631901
54.36952432,1,1,3,302.2229586
38.67169462,1,0,0,199.6782124
102.1875243,1,1,2,610.4754443
5.625340169,0,1,2,49.77112122
24.04631991,0,0,2,188.0747554
18.08902803,0,0,1,98.38306592
89.49532613,1,1,2,624.8365473
115.3992623,0,1,2,678.3274176
60.80932873,0,0,2,250.511677
29.10494159,1,0,1,92.82496443
-45.72384115,0,1,2,191.1792333
41.64919609,1,0,0,67.61961215
-9.590611244,0,0,1,-70.62443732
48.51405007,1,1,1,137.6577728
-43.29873548,1,1,3,36.51498905
48.94302985,1,1,1,366.5475873
-11.09050506,0,0,1,-86.8622539
-50.31902813,1,0,1,-269.9761591
73.29964033,1,1,3,462.2138342
29.81793135,0,1,1,222.9597027
35.11329927,0,1,1,213.5904217
19.47604729,0,0,3,116.3967425
74.90017453,1,0,1,151.9483106
99.55327761,1,0,2,556.6259833
47.42500678,1,1,1,274.0395157
63.77985751,0,1,2,196.3339958
77.70281817,1,0,2,283.6414448
62.71665839,0,1,1,416.6105005
54.91331481,0,1,2,189.0056187
87.06216768,0,1,2,534.7262741
90.74354321,1,0,2,421.4436666
-9.866279974,1,0,2,23.50817121
54.57246198,1,0,1,239.6275484
124.474702,1,1,1,647.0329795
29.69348417,0,0,2,103.6295514
55.86256689,0,1,1,423.8268188
85.2227688,1,0,2,296.0489401
108.4802907,0,0,3,528.9934774
96.49928019,1,1,2,346.8209235
-25.84841269,1,0,1,-16.26518584
58.73067049,0,1,0,341.1062307
41.7706366,1,0,1,316.1140518
55.67343728,0,0,1,479.4780924
9.140120535,1,0,1,44.34489719
14.42398301,0,1,0,232.5811147
63.2110353,0,0,0,303.3417747
56.83702009,1,0,1,244.3126967
-50.14852704,1,0,2,-305.8440311
82.18318958,0,1,1,405.0417461
25.03382545,1,1,2,72.05763592
59.21867671,0,1,1,358.4624769
58.64142394,1,1,1,442.329447
33.18798515,1,1,0,181.449086
11.51692829,1,1,2,216.0951265
41.02226536,1,0,1,157.7481481
71.91061666,0,1,1,482.0503034
63.92982012,0,0,2,367.8009984
-8.241197172,0,1,2,219.6570356
49.05156415,0,0,3,333.2863036
31.45492703,0,1,2,210.9569611
-8.272808701,1,1,2,23.98352575
96.47665147,1,0,1,345.8903683
2.894772552,0,1,0,150.0325347
36.22748657,1,1,1,259.6296316
89.09422336,0,1,0,629.385466
-6.889275846,0,0,1,-113.1660763
0.381458667,1,1,0,331.4527271
14.80252499,1,0,2,287.8599855
135.4290283,0,1,1,414.982289
40.82020832,0,0,2,-38.55024503
-22.93640443,0,1,1,128.9390416
-20.85295182,0,0,1,-16.4833321
39.8854146,1,1,1,309.0908795
-17.55687221,1,0,3,48.59618778
56.97210057,0,1,2,442.5342929
81.43936531,1,0,2,215.3629901
-16.7929459,0,0,3,-98.19385948
22.34753355,0,1,2,172.1736608
9.555414788,1,1,1,31.59430621
-12.59959501,0,0,1,-130.4694063
22.40425697,1,1,0,228.373288
57.66357906,1,1,0,446.4390418
105.6374488,1,1,2,552.4758375
30.77158972,1,1,0,273.530472
36.6322773,1,0,1,120.3907635
11.19054352,1,1,3,228.0985209
58.55883078,0,1,3,277.0883909
115.2870776,0,1,2,618.1610628
-63.57321558,1,1,3,-106.5171222
63.1337626,1,1,1,516.7064695
36.61566498,0,1,1,117.0936492
127.7946932,0,0,0,507.768875
43.43587825,1,1,1,146.5740196
12.38773571,0,1,2,106.1009766
19.9159161,0,1,2,78.21625474
49.24791635,1,0,2,212.6346737
35.01257344,0,1,2,381.230826
26.15329049,1,0,1,203.5048536
40.0912908,0,0,2,219.1580371
51.39971258,0,0,3,484.9035561
47.78017547,1,1,1,449.2200746
86.04241336,1,1,2,534.7972412
16.47555535,0,0,3,90.7165122
10.57250887,0,1,2,185.1163252
3.661534346,0,0,1,31.21921881
40.5194581,0,0,0,317.8500666
